pair_id,smiles_A,smiles_B,source,transformation,analogs_generated,unique_analogs,B_recovered_exact,B_rank_by_tanimoto,best_tanimoto,top10_tanimoto_mean,smirks_that_recovered_B,runtime_s
MMP_001,O=C(O)Cc1ccc(N)cc1,c1ccc(Cc2nnn[nH]2)cc1N,literature,COOH->tetrazole,150,98,False,,0.6471,0.2619,,1.0401
MMP_002,CC(C)Cc1ccc(C(C)C(=O)O)cc1,CC(C)Cc1ccc(C(C)C(=O)NS(=O)(=O)C)cc1,literature,COOH->acylsulfonamide,158,106,True,1,1.0,0.6526,ACID_002;SLFA_003,1.1808
MMP_003,Cc1ccc(N)cc1,Cc1ccc(NC)cc1,literature,NH2->NHMe,115,70,True,1,1.0,0.4275,AMINE_001;STER018;AROM017,0.7633
MMP_004,c1ccc(O)cc1,c1ccc(F)cc1,literature,OH->F,133,84,True,1,1.0,0.4131,CNS_008;PHEN006,1.0797
MMP_005,c1ccncc1,c1ccncn1,literature,pyridine->pyrimidine,37,22,True,1,1.0,0.3791,RING_110;NHEX003,0.1376
MMP_006,CCc1ccccc1,FC(F)(F)c1ccccc1,literature,Et->CF3,132,83,False,,0.5789,0.3477,,1.0039
MMP_007,c1ccc(OC)cc1,c1ccc(OC(F)(F)F)cc1,literature,OMe->OCF3,139,89,True,1,1.0,0.4523,HALO_002;OSUB_005;FLUO004,0.754
MMP_008,O=C(O)c1ccccc1,c1ccc(C(=O)NS(=O)(=O)C)cc1,literature,COOH->acylsulfonamide,154,99,True,1,1.0,0.5295,ACID_002;SLFA_003,1.1275
MMP_009,c1ccccn1,c1ccc[nH]c1=O,literature,pyridine->pyridone,37,22,False,,0.1852,0.1644,,0.114
MMP_010,OCc1ccccc1,O=Cc1ccccc1,literature,CH2OH->CHO,138,86,True,1,1.0,0.3402,BENZ_005,1.0093
MMP_011,CC(=O)Nc1ccccc1,CN(C)C(=O)Nc1ccccc1,literature,acetamide->urea,153,96,False,,0.5185,0.491,,0.7412
MMP_012,Cc1ccc(S(N)(=O)=O)cc1,Cc1ccc(C(=O)N)cc1,literature,SO2NH2->CONH2,121,76,True,1,1.0,0.4412,SLFA012,1.1487
MMP_013,Cc1ccc(C(F)(F)F)cc1,Cc1ccc(C#N)cc1,literature,CF3->CN,104,64,False,,0.381,0.2844,,0.9084
MMP_014,c1ccc(Br)cc1,c1ccc(Cl)cc1,literature,Br->Cl,115,70,True,1,1.0,0.3814,HALO009,0.9343
MMP_015,c1ccc(I)cc1,c1ccc(F)cc1,literature,I->F,114,69,False,,0.4118,0.3075,,0.899
MMP_016,Cc1nccc(C)n1,Cc1ncc(C)nc1,literature,pyrazine->pyrimidine_swap,40,26,False,,0.3333,0.3028,,0.0704
MMP_017,OC(=O)CCC(=O)O,OC(=O)CCCC(=O)O,literature,succinate->glutarate,50,38,False,,0.4706,0.4432,,0.1395
MMP_018,NCCCC(N)=N,NCCC(N)=N,literature,guanidine_chain_-1,44,36,False,,0.4737,0.3972,,0.1374
MMP_019,c1ccc(N=O)cc1,c1ccc([N+](=O)[O-])cc1,literature,N=O->NO2,114,69,False,,0.5,0.2999,,0.8448
MMP_020,c1ccc2[nH]ccc2c1,c1ccc2ncccc2c1,literature,indole->quinoline,157,97,False,,0.4074,0.2641,,0.9603
MMP_021,NS(=O)(=O)c1ccccc1,N(C)S(=O)(=O)c1ccccc1,literature,SO2NH2->SO2NHMe,134,84,True,1,1.0,0.5425,AMINE_001;SLFA_001;CNS_013;STER018,0.6758
MMP_022,Cc1ccc(C(=O)N)cc1,Cc1ccc(C#N)cc1,literature,amide->nitrile,130,81,False,,0.4231,0.328,,0.7543
MMP_023,c1ccc(C(=O)C)cc1,c1ccc(C(C)O)cc1,literature,ketone->alcohol,139,86,True,1,1.0,0.4021,CARB_003;CARB_009;POLA009,0.5934
MMP_024,c1ccc(OCC)cc1,c1ccc(OCCC)cc1,literature,ethoxy->propoxy,127,80,True,1,1.0,0.5399,META025,0.7104
MMP_025,Cn1cncn1,Cn1ccnn1,literature,triazole_isomer,29,19,False,,0.2692,0.2088,,0.0474
MMP_026,c1ccc(N(C)C)cc1,c1ccc(N(C)CC)cc1,literature,NMe2->NMeEt,127,77,True,1,1.0,0.4959,AMINE_010;STER_009;META025;META033,0.6166
MMP_027,O=C(O)c1cccc(N)c1,O=C(N)c1cccc(N)c1,literature,COOH->amide,229,149,True,1,1.0,0.6364,OSUB_004;BIOI011,0.7463
MMP_028,c1ccc(S)cc1,c1ccc(O)cc1,literature,SH->OH,114,69,False,,0.4118,0.3055,,0.6297
MMP_029,CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(F)cc1,literature,phenol->fluorobenzene,145,95,True,1,1.0,0.6005,CNS_008;PHEN006,0.772
MMP_030,c1ccc(C(=O)OC)cc1,c1ccc(C(=O)OCC)cc1,literature,methyl_ester->ethyl_ester,162,95,True,1,1.0,0.5926,STER_011;ETHER003;META025;EST002,0.5626
